6 55.5528848972
7 77.2609635591
8 72.8709961248
9 63.7395400338
10 47.0831509517
11 36.3769974496
12 6.89072702443
13 4.52664470906
14 23.86445403
15 13.9300261097
16 15.2918673361
17 27.1409007317
18 41.5381038238
19 52.4876452804
20 49.2102861883
21 35.763388698
22 35.334803611
23 25.1392715154
24 19.9332071217
25 41.7286462886
26 38.2394904985
27 35.2305991023
28 26.2060775954
29 34.6350626348
30 38.8380183764
31 30.8933213357
32 53.0238359519
33 34.2068106104
34 46.4313495598
35 33.5820783547
36 41.2541491083
37 34.2450551266
38 39.0039715125
39 41.2054101729
40 38.7392625746
41 43.2791551117
42 45.1229385946
43 47.6662770816
44 49.5721894176
45 42.4817885836
46 42.3136903857
47 23.7513564384
48 36.1357351459
49 30.8327726512
50 40.065626709
50.1 39.0790837479
51 38.0282923613
51.1 38.1599328938
52 37.4363259036
52.1 39.2429662521
53 35.3312437365
53.1 34.5149935156
54 37.5409069659
54.1 36.9455744915
55.1 42.9183827856
56.1 44.1124304084
57.1 81.0727496917
