5 0 0.3828125
5 1 0.2646484375
5 2 0.2509765625
5 3 0.3251953125
5 4 0.3037109375
5 5 0.4541015625
5 6 0.3330078125
5 7 0.484375
5 8 0.0
5 9 0.0
5 10 0.0
5 11 0.0
5 12 0.0
5 13 0.0
5 14 0.0
5 15 0.0
6 0 0.3828125
6 1 0.326171875
6 2 0.2197265625
6 3 0.353515625
6 4 0.3330078125
6 5 0.37109375
6 6 0.3916015625
6 7 0.3896484375
6 8 0.0
6 9 0.0
6 10 0.0
6 11 0.0
6 12 0.0
6 13 0.0
6 14 0.0
6 15 0.0
7 0 0.3828125
7 1 0.3134765625
7 2 0.294921875
7 3 0.2880859375
7 4 0.328125
7 5 0.3486328125
7 6 0.373046875
7 7 0.3076171875
7 8 0.0
7 9 0.0
7 10 0.0
7 11 0.0
7 12 0.0
7 13 0.0
7 14 0.0
7 15 0.0
8 0 0.38671875
8 1 0.310546875
8 2 0.3427734375
8 3 0.27734375
8 4 0.318359375
8 5 0.3515625
8 6 0.353515625
8 7 0.306640625
8 8 0.0
8 9 0.0
8 10 0.0
8 11 0.0
8 12 0.0
8 13 0.0
8 14 0.0
8 15 0.0
9 0 0.384765625
9 1 0.41796875
9 2 0.3994140625
9 3 0.3876953125
9 4 0.3701171875
9 5 0.3759765625
9 6 0.4306640625
9 7 0.3662109375
9 8 0.0
9 9 0.0
9 10 0.0
9 11 0.0
9 12 0.0
9 13 0.0
9 14 0.0
9 15 0.0
10 0 0.3828125
10 1 0.396484375
10 2 0.4365234375
10 3 0.4248046875
10 4 0.3203125
10 5 0.505859375
10 6 0.3642578125
10 7 0.3115234375
10 8 0.0
10 9 0.0
10 10 0.0
10 11 0.0
10 12 0.0
10 13 0.0
10 14 0.0
10 15 0.0
11 0 0.39453125
11 1 0.412109375
11 2 0.28515625
11 3 0.3447265625
11 4 0.3935546875
11 5 0.3564453125
11 6 0.36328125
11 7 0.3828125
11 8 0.0
11 9 0.0
11 10 0.0
11 11 0.0
11 12 0.0
