3.0 43.1718978437 32.3428265652 46.56029608
4.0 67.542458637 67.9022840995 67.7881641039
5.0 67.5914735538 67.8482105572 67.790371138
6.0 67.6999185926 67.8789776915 67.8139886829
7.0 67.7332048804 67.85010961 67.8499315438
8.0 67.8083954293 67.9127519488 67.8428739082
9.0 67.7805406484 67.896850691 67.881819903
10.0 67.8274291147 67.9247131216 67.7307996679
11.0 67.8654797892 67.9149570951 67.8394553298
12.0 67.8680029789 67.8992524569 67.7615216992
13.0 67.8591534639 67.946194315 67.8243874478
14.0 67.8671380729 67.9109698435 67.8620247743
15.0 67.7987801265 67.9069880606 67.8678141724
16.0 67.8540410281 67.9175299836 67.8748310706
17.0 67.8330197689 67.9229468424 67.8324441176
18.0 67.9196914994 67.9410450527 67.8353242489
19.0 67.8688324784 67.9228755391 67.8986794541
20.0 67.8738603909 67.8885601362 67.8653920217
21.0 58.9342664567 59.8797958355 55.1346990834
