2 0.068 0.1 0.067
3 38.76 54.253 41.807
4 4.102 37.809 25.001
5 0.938 11.699 4.778
6 2.501 10.08 5.299
7 12.284 36.327 13.49
8 2.709 15.714 11.566
9 10.099 16.739 1.85
10 6.768 19.401 6.221
11 7.709 18.506 11.011
12 1.858 5.089 2.843
13 4.631 14.571 6.66
14 15.132 15.229 5.78
15 5.837 5.391
16 14.894 11.761 5.337
17 16.341 9.054 30.682
18 11.085 14.565 15.817
19 20.391 10.678 7.612
20 5.701 9.08 8.283
21 5.412 10.865 8.37
22 9.589 1.587 6.412
23 6.132 7.571 9.421
24 18.555 11.247
25 13.969 5.255 18.059
26 13.189 14.063 9.822
27 6.432 1.17 4.499
28 11.515 23.144 13.772
29 20.383 8.45 19.225
30 19.769 41.542 35.466
31 16.295 18.006 12.116
32 20.277 12.727 6.499
33 8.373 44.382 41.228
34 26.219 32.101 38.372
35 14.277 5.772 18.561
36 17.992 31.16 5.352
37 2.372 5.478
38 30.463 10.406 9.316
39 6.708 19.744 1.529
40 1.243 15.466 8.671
41 9.3 28.026 12.372
42 5.983 3.815 24.811
43 9.275 11.116 14.25
44 23.431 12.961 2.227
45 0.154 7.823 18.624
46 11.919 24.201 24.182
47 8.225 9.728 1.242
48 4.6 31.693 5.477
49 9.551 20.032 31.118
50 21.88 6.505 9.134
51 16.86 5.026 11.006
52 2.728 20.468 14.552
53 3.724 7.183 5.448
54 19.195 44.415 5.825
55 11.769 7.182 13.122
56 13.38 10.985
57 14.748 17.806 16.181
58 15.038 20.366 8.648
59 14.667 10.636 3.486
60 12.171 6.566 15.087
61 17.1 8.765 7.122
62 10.392 24.842 11.015
63 20.24 23.311 4.115
64 17.792 39.555 42.34
65 20.7 25.686 25.995
66 12.499 18.201 12.436
67 14.22 41.477 3.401
68 5.464 5.102 8.636
69 10.49 0.896
