2000000000 115.5 115.5 116.0
4000000000 165.5 190.75 165.75
6000000000 234.25 236.5 238.5
8000000000 306.75 305.5 299.75
10000000000 401.5 401.0 396.0
12000000000 486.75 501.75 488.0
14000000000 619.25 587.0 606.0
16000000000 759.75 755.75 790.75
18000000000 1943.0 2032.75 1966.5
20000000000 8071.0 8019.25 7680.25
22000000000 8431.25 8430.75 8436.75
24000000000 8511.75 8508.5 8515.25
26000000000 8552.5 8548.0 8549.75
28000000000 8557.25 8556.0 8560.75
30000000000 8568.5 8569.5 8572.0
32000000000 8576.0 8568.25 8566.75
34000000000 8575.25 8575.0 8569.5
