4 518.730677562
5 565.969722306
6 557.153142527
7 548.983056033
8 568.415556251
9 433.206874507
10 481.41148319
11 552.24886999
12 647.162858232
13 589.957585655
14 668.293466046
15 685.881820434
16 518.165647267
17 491.327200218
18 539.611622307
19 536.729527655
20 600.593054085
21 567.365628886
22 572.122267609
23 601.675614813
24 669.675277511
25 637.895057627
26 473.348757879
27 505.398847969
28 515.221088202
29 641.28392184
30 688.769334594
31 434.860468744
32 470.377630336
33 624.675641691
34 521.563902463
35 359.478126309
36 444.209848487
37 483.824092392
38 602.903283741
39 401.876749807
40 567.173600332
41 661.390742459
42 476.747892409
42.1 0.0
43 679.759144457
43.1 0.0
44 601.121682797
44.1 0.0
45 550.928991737
45.1 0.0
46 614.114517624
46.1 0.0
47 551.649030058
47.1 0.0
48 631.652416387
48.1 0.0
49 570.880183562
49.1 0.0
50 521.441612001
50.1 0.0
51 500.876244659
51.1 0.0
52 527.032362811
52.1 0.0
53 645.699822524
53.1 0.0
54 897.936203438
54.1 0.0
55 863.186969047
55.1 0.0
56 997.420072112
