5 35.4915959132
6 36.4368874154
7 30.6527183035
8 33.7935784412
9 29.2106874342
10 44.5670305302
11 31.7736142835
12 26.127765469
13 41.5265226226
14 38.767757569
15 35.1113389872
16 38.8833474577
17 32.2777737465
18 28.8321276943
19 25.8916946324
20 15.6585269678
21 21.5909369614
22 23.0009043362
23 22.8262094139
24 27.6960178813
25 21.6834913727
26 24.4435645679
27 31.8633938382
28 27.6711327991
29 23.5671270501
30 32.8471632324
31 21.9677992296
32 27.4142814815
33 20.2963872325
34 22.0722127194
35 24.9215190318
36 37.1961907911
37 41.008894816
38 29.6048685676
39 28.4392236505
40 27.6822096913
41 20.443580898
42 25.372237357
43 16.9383741952
44.1 19.8961817403
45.1 28.9166091909
46.1 22.2160261744
47.1 28.6486144759
48.1 37.7248452195
49.1 32.2869819876
50.1 22.7435597468
51.1 32.7435600107
52.1 35.2821491265
53.1 39.0778350959
54.1 43.5894128018
55.1 41.0868000813
56.1 48.6659419592
57.1 42.7207637232
