4 0.0
5 145.65910866
6 199.558395225
7 206.57994663
8 212.386796677
9 234.932714609
10 165.617866735
11 235.876252466
12 222.352969337
13 191.409924794
14 227.510075644
15 168.869964964
16 225.93061824
17 249.966799492
18 292.485442041
19 183.226336899
20 227.044507666
21 275.90424789
22 219.749610669
23 169.356385854
24 206.034509146
25 212.294861251
26 218.070698429
27 206.307666916
28 236.112506653
29 265.163384644
30 221.869454092
31 194.99338327
32 237.787904921
33 243.171151597
34 224.910044063
35 219.64548986
36 236.120074375
37 206.444225556
38 206.635533522
39 219.060856007
40 269.182614006
41 274.093847344
42 248.021298331
43 239.764263786
44 163.386631206
45 205.757632218
46 211.517297186
47 220.152710851
48 250.797147053
48.1 0.0
49 230.490469101
49.1 0.0
50 248.318687514
50.1 0.0
51 187.567057779
51.1 0.0
52 220.023688648
52.1 0.0
53 210.568536566
53.1 0.0
54 152.380858912
54.1 0.0
55 167.046087968
55.1 0.0
56 239.085568322
