5 209.614083516
6 236.846190811
7 283.895762259
8 195.641132679
9 249.374933972
10 179.971355099
11 177.713329615
12 210.796613098
13 224.317608799
14 176.14046255
15 186.282106472
16 152.879429892
17 186.847658905
18 156.168521985
19 154.780208949
20 231.006962824
21 248.8022306
22 252.386095444
23 170.462691966
24 239.381394053
25 207.634917629
26 193.388169546
27 217.421129999
28 167.582552549
29 169.720370958
30 157.288872288
31 196.110078096
32 206.230825736
33 156.42739726
34 193.45604867
35 196.323703062
36 180.576085654
37 174.632565675
38 149.284767288
39 165.602787456
40 153.366899575
41 171.762216875
42 229.169235829
43 170.302294871
44 193.937097385
45 194.089501829
46 188.877823368
47 183.045094553
48 188.362704759
49 269.985276286
50 249.435646163
51 268.070099524
52.1 220.699253511
53.1 158.388974185
54.1 180.872645907
55.1 165.172027248
56.1 209.541420118
