5 90.8591284887
6 62.3379124708
7 78.022869117
8 83.9855860821
9 64.8919661296
10 49.5887320204
11 62.1161930354
12 60.0524860409
13 68.5613864649
14 60.9779394545
15 48.0439701177
16 48.9991534718
17 47.2119788239
18 54.0619489912
19 68.0842099692
20 67.2878814464
21 52.7956220154
22 65.3149094723
23 69.3540776927
24 63.2487838803
25 73.6932167163
26 64.6207597817
27 56.3277771626
28 74.0242666807
29 72.7989101533
30 74.3530622395
31 74.8963160003
32 46.2196013736
33 42.2455546464
34 54.1145701051
35 52.0099491692
36 52.8985071769
37 48.7335605773
38 48.3691994484
39 61.9561743957
40.1 83.7356863767
41.1 54.6310895456
42.1 57.0925362026
43.1 58.2582697249
44.1 62.3570042392
45.1 50.3088283727
46.1 46.459209287
47.1 56.0363649511
48.1 60.6140923936
49.1 49.9845764778
50.1 55.8979296346
51.1 68.6242299216
52.1 50.184974596
53.1 72.6656715898
54.1 81.4134090643
55.1 79.606284358
56.1 116.232117374
