3 17.4110535606 17.8276703109
4 17.43008522 17.8308959958
5 17.4383746247 17.8382543891
6 17.4544325874 17.8309484529
7 17.4271542256 17.8009805549
8 17.4352788641 17.8003426394
9 17.4531185645 17.8068349162
10 17.4509258736 17.7975640383
11 17.4765766929 17.7911234049
12 17.4681555862 17.8020309305
13 17.4583791708 17.7820856769
14 17.4569985993 17.8003811392
15 17.454363506 17.7793711699
16 17.4409197304 17.782955169
17 17.4193609601 17.7643293056
18 17.4120158419 17.7335766534
19 12.9830189156 14.7181206566
