1 5.8360209486 5.81262655034 5.84301966185
2 11.5654282714 11.4828994634 11.7071742873
3 17.4103206234 17.4027970513 17.2152296804
4 23.2312334448 23.1574653224 22.8971605206
5 28.7123864094 28.2842234141 27.2826823541
6 33.8287364162 33.6259885454 32.1335927588
7 38.6396332339 38.4939861206 36.3353415632
8 43.7051034304 44.0037250019 40.5376036065
9 47.5918402487 47.5845439676 43.863779836
10 51.3861713909 51.5313363553 47.3299573631
11 54.724376269 54.2421163953 49.9273100527
12 58.9715124048 55.1483175819 53.322370141 53.8849247712 53.4555786191 53.5056289355 53.7020770935
13 61.6612773325 61.0065980563 55.2997859446
14 64.8150714821 64.8016943575 57.0980029237
15 67.7014404222 67.2950501363 59.238871859
16 70.7434386427 70.3602997106 61.1030757279
