3 19.6910862573 19.5641998081 19.6899516415 19.6595660857
4 19.7687849368 19.6499370336 19.738782336 19.7671063016 19.7725682901
5 19.8296568517 19.6880988257 19.8229189697 19.8279334487 19.8468306862
6 19.8431841665 19.7341020515 19.8429788331 19.8364508739 19.8420073288
7 19.8577457996 19.731999517 19.8638172473 19.8827802797 19.8611021016
8 19.8868272197 19.7398674419 19.8705097816 19.8893343091 19.8642218411
9 19.8718545758 19.7383116713 19.894255089 19.9065128207 19.8879816978
10 19.9212801558 19.8058502697 19.8674841623 19.9145487597 19.8859823923
11 19.8874263651 19.7891733853 19.9306878772 19.9003693188 19.9138192502
12 19.931677985 19.7764537355 19.8835008491 19.9365802829 19.92391604
13 19.9145760799 19.7874000745 19.9095092351 19.9465527422 19.9343723474
14 19.9045265772 19.8133488795 19.9075523109 19.9288481182 19.937720438
15 19.9061501019 19.8459210519 19.9305461165 19.9444884355 19.9596361063
16 19.9605042651 19.8196133168 19.9414689495 19.9409769309 19.9362110262
17 19.9714435752 19.8405679755 19.9148281991 19.9222982578 19.9558505952
18 19.939295831 19.8541872217 19.9183019948 19.942214907 19.9532675342
19 19.9776714829 19.8376200206 19.9646774421 19.9353835484 19.9485436104
20 19.9756420074 19.8460862632 19.9340460028 19.9422295304 19.9411088899
21 19.3039862733 18.6182495159 19.9430544602 16.7513439399 16.3800207512
