6 33.0 7.03613996552e-07 7.03626906814e-07 7.03625565465e-07
6 34.0 4.11539747708 23.4320253847 20.7459438589
6 35.0 58.0524524135 60.2954212421 59.7541395184
6 36.0 60.1608376814 62.3313009389 62.226862698
6 37.0 61.8408025532 62.8361558512 62.6156129005
6 38.0 62.4659276847 63.1348663463 63.1459501947
6 39.0 62.8761813864 63.4160404482 62.969667124
6 40.0 62.78706873 63.2535825604 62.7758436647
6 41.0 63.1146242065 63.3129932685 63.7124346599
6 42.0 62.626508271 63.539687671 63.4258927685
6 43.0 62.8972244989 63.5249185464 63.4773732572
6 44.0 62.7544601487 63.8119177219 63.1219008859
6 45.0 62.3927989115 63.4370944655 63.6316186552
6 46.0 62.7040318158 63.391273428 63.7937420944
6 47.0 63.2643617386 64.014460283 64.1472809893
6 48.0 63.2803882984 63.5012194757 63.5454356496
6 49.0 63.7263500556 63.6343939669 63.7755276974
6 50.0 62.9839779118 63.6363507644 63.5586305895
6 51.0 63.3959443975 63.7044969661 63.1414088234
6 52.0 62.8427034737 63.5531611966 63.3980984547
6 53.0 63.1576556817 63.2452089752 62.7819669095
6 54.0 63.0812844213 63.1147975713 63.1826684373
6 55.0 63.2958426863 53.5908395281 54.8419328153
6 56.0 10.3831504652
6 57.0 0.0
8 33.0 7.03610810978e-07 7.0363545803e-07 7.03632439927e-07
8 34.0 0.260155718378 11.7639360334 15.446645949
8 35.0 66.2345898157 71.2887155126 70.6529415792
8 36.0 72.7605228557 73.2483061041 72.5744845739
8 37.0 75.8450685461 75.147283771 74.3996680068
8 38.0 75.070073405 75.3938453474 74.6916460709
8 39.0 76.3467612458 74.7861218857 75.3793834766
8 40.0 74.9038412975 74.9848630855 74.7130759344
8 41.0 73.7528687302 75.4192963845 74.8490516889
8 42.0 74.3383646413 74.8579171926 75.3759327364
8 43.0 75.8290104237 76.1072727096 75.2666669333
8 44.0 78.2364523594 76.2771964135 76.4320833946
8 45.0 77.499732617 76.8036268294 76.0313534741
8 46.0 76.8011681918 76.2696557808 76.0333663343
8 47.0 75.9467254264 75.0924919237 77.0642938108
8 48.0 75.3245685022 74.776193233 76.0694690194
8 49.0 76.443384984 74.5776256589 76.1628949278
8 50.0 76.3307931185 75.0591362106 76.274575667
8 51.0 75.8364701751 75.6181725034 77.0846537005
8 52.0 77.1472919142 76.1400878477 77.1617330617
8 53.0 75.8585084793 76.0874022226 76.8167314608
8 54.0 75.1041678607 76.6597247767 75.7663240501
8 55.0 74.4156717673 77.215278158 74.6016291523
8 56.0 16.8722238382 3.97212952381
8 57.0 0.0
11 33.0 0.0 7.03622547454e-07 0.0
11 34.0 9.64467625029 8.45919337222 17.4778035405
11 35.0 70.9933426044 73.4220655423 73.2017813057
11 36.0 75.075412529 73.6704308772 75.5037396636
11 37.0 77.3635799746 76.2469726349 77.2311180586
11 38.0 77.1721494213 77.3678730009 76.2959586076
11 39.0 77.2300016633 76.6329733421 76.663134182
11 40.0 76.2302609726 76.3638138609 76.069359671
11 41.0 75.6166097076 76.8365879223 77.3045984685
11 42.0 76.8514642385 76.3940995312 77.2317850295
11 43.0 76.1880002741 77.3053816125 76.9674328056
11 44.0 76.2748028057 77.0666434068 77.6126431512
11 45.0 75.6122925326 75.3413004002 76.5667816213
11 46.0 76.4351669298 76.1212647586 75.9769578683
11 47.0 77.554911685 78.171105435 77.4016771376
11 48.0 77.314632641 77.7543121674 75.468700972
11 49.0 76.7106670231 77.3800516296 76.8191072433
11 50.0 77.8814629261 76.2248616253 76.3731911362
11 51.0 77.2780924034 76.6578665311 75.1903388696
11 52.0 77.9625781127 76.9286102517 77.9220342602
11 53.0 77.0755251229 76.701462706 77.6007248458
11 54.0 77.7928190384 77.2485902037 77.0626207367
11 55.0 77.3132794465 77.9025791617 74.6969730643
11 56.0 5.78265325141 7.00762913937
11 57.0 0.0
15 33.0 7.03587506845e-07 7.03604439909e-07
15 34.0 26.3482265565 46.4908784962 34.1638014686
15 35.0 72.3749172738 71.5632873418 72.1511584449
15 36.0 73.7938164627 75.3759581695 74.8662294483
15 37.0 73.7205190937 76.0582479271 72.942434165
15 38.0 74.9244538377 75.7812360456 74.6148274977
15 39.0 73.0547005069 76.1909638192 73.6933492874
15 40.0 75.2715775579 75.4695714476 73.5998391875
15 41.0 75.1901725552 76.2664168253 74.9470367738
15 42.0 73.1214623587 74.6034726987 74.8927657495
15 43.0 74.9491306246 74.8353055993 74.8859227675
15 44.0 75.8490994877 74.6074948411 73.6734724465
15 45.0 75.0569754959 73.339588443 72.4951955036
15 46.0 75.9864635487 76.572724358 74.7978522577
15 47.0 76.0985965152 74.2016786068 72.4447492574
15 48.0 76.1055667171 73.3709016807 72.5990850736
15 49.0 76.3531995931 74.2795773638 76.0288260345
15 50.0 77.1218263929 76.1411542648 74.0365560925
15 51.0 76.4778320412 76.0736181583 73.5187372988
15 52.0 74.4259783177 76.3717613069 73.7624416056
15 53.0 76.1507761934 77.4664977708 74.4465984274
15 54.0 77.9911090433 76.643204149 74.0967993319
15 55.0 63.6533771671 42.3054754936 51.931306527
15 57.0 0.0
15 56.0 0.0
15 32.0 7.03602763329e-07
