3 33.9670053466 33.940936518 33.9499323482 33.8701409315 33.856285295 33.8940915009
4 33.9907658366 33.9774644645 33.9591417224 33.9191176061 33.8958412511 33.9018993574
5 33.9950408485 33.9817181271 34.0006012824 33.929812295 33.9439763901 33.9441236257
6 34.1579867568 34.0422376016 34.0080462048 33.9601079295 33.9567706974 33.9563451644
7 34.1113306773 34.0656615114 34.0325819349 33.9704727733 33.9287028828 34.030417844
8 34.1457893469 34.0522241951 34.0320010375 34.0027481774 33.9410318806 34.0362944825
9 34.1921389288 34.0736226223 34.0164237847 33.9893047809 33.9391881985 34.0403196556
10 34.2169946274 34.0585759111 34.0526898874 34.010257608 33.9621947533 34.0187036004
11 34.2166963573 34.058049463 34.0374689485 34.0157718559 33.9450839673 34.050636249
12 34.2148066438 34.105226936 34.1029107975 34.0147551057 34.0032516557 34.0638714753
13 34.2359602141 34.0921828015 34.1154203901 34.0425983417 33.9918434557 34.0249178836
14 34.2260935689 34.0923450927 34.1307587104 34.0307829554 33.9593087583 34.0801347465
15 34.2096996887 34.0878770459 34.1120295195 34.016381427 33.969800761 34.1040076571
16 34.2493153891 34.1019890126 34.1218399028 34.0684134653 33.9843032274 34.0729375682
17 34.2595298495 34.0467840922 34.1059858912 34.0732623298 33.9861416486 34.0856455988
18 34.2590790283 34.0914499757 34.1150848174 34.0502192219 33.9630445157 34.0711461719
19 34.2608802386 34.0913774404 34.1205692356 34.0534216328 33.9761684582 34.1293847225
