90 13804995195.8 13818962173.6 13722225064.5
95 14830720984.8 14551449098.0 14503431326.0
100 15411684271.1 15555743230.6 15550919979.3
105 16075459917.2 15971074646.2 16088364341.6
110 17142156261.0 16791588159.9 17169174388.8
115 17607560704.6 17911621601.4 17780355892.4
120 18293329122.6 18626197813.0 18424442456.5
125 19549157208.2 19112733399.6 19134093466.5
130 19896030612.6 20278192387.6 20304114265.6
135 21007939633.5 20816056239.5 21117559293.6
140 21493127027.8 21834148967.3 21469896010.0
145 22130705102.9 22142093319.3 22228140223.3
150 22906054472.9 23074338245.0 22903147095.2
155 23776521721.7 23850688416.7 23721282975.8
160 24903797548.5 24550436889.5 24790116503.3
165 25186682797.0 25522588538.2 25263279682.8
170 26054277639.8 26050437459.8 26042639377.3
